PLOTTITLE[average salary for woman], XLEAST[2000], SLOPEY[10], YUNIT[%]	The average salary for woman has grown since 2000 by at least 10 %
YLABEL[Gender pay gap], COUNT[3], XLABEL[countries], YUNIT[percentages], XHIGHEST[Germany], YHIGHEST[21], YUNIT[%], XSECOND[UK], YSECONDAPPROX[20], YUNIT[%], XLEAST[Spain], YLEASTAPPROX[15], YUNIT[%]	Gender pay gap shown in graph form to show 3 different countries against percentages . Germany was the highest at 21 % , UK came in slightly lower at just over 20 % . Spain was the lowest at 15 % .
PLOTTITLE[median salary for Software Engineers dependant on degree level], T0AB[Persons], XHIGHEST[PhD], XLABEL[level], XSECOND[Masters], XTHIRD[Bachelors], XLEAST[no degree]	This graph shows the median salary for Software Engineers dependant on degree level . Persons holding PhD level earn the highest , followed by Masters , then Bachelors and finally no degree .
PLOTTITLE[closing stock prices of Akef Inc per working day], YLABEL[stock prices], YUNIT[£], YHIGHESTAPPROX[74], XHIGHEST[Wednesday], XEND[and], XFOURTH[Thursday], XLEAST[Friday], YUNIT[£], YLEASTAPPROX[9]	This chart represents the closing stock prices of Akef Inc per working day \\n \\n There was a general increase in stock prices to £ 74 on Wednesday , and them a dramatic drop on Thursday , falling further still on Friday to £ 9 .
PLOTTITLE[representation of minorities in the Parliament of Lybia], INTERVAL[two decades], XSTART[from], XHIGHEST[1990], XEND[to], XFIFTH[2019], YLABEL[representation], YHIGHESTAPPROX[14], YUNIT[%], XHIGHEST[1990-1994], YFIFTHAPPROX[7], YUNIT[%], XFIFTH[2015-2019]	This Chart represents the representation of minorities in the Parliament of Lybia over two decades from 1990 to 2019 . \\n \\n There is a downward trend in representation from nearly 14 % in 1990-1994 to around 7 % in 2015-2019 .
XHIGHEST[Asia], YLABEL[amount], T1AY[higher education], BARSREST[continents], YHIGHESTAPPROX[325], YMAG[million], YUNIT[dollars], MULHIGHESTTHIRD[3 times], XTHIRD[Europe], YTHIRD[100], YMAG[million], YUNIT[dollars], MULHIGHESTLEAST[6 times], XLEAST[Africa], YLEAST[50], YMAG[million], YUNIT[dollars], XSECOND[North America], YLABEL[amount], YSECOND[200], YMAG[million], YUNIT[dollars]	Asia spends a much higher amount on higher education than other continents . At 325 million dollars , this is more than 3 times higher than Europe at 100 million dollars and over 6 times higher than Africa at 50 million dollars . North America spends the second highest amount with 200 million dollars .
T1AY[Women], T1AY[represented], XSECOND[arts], XHIGHEST[literature], XFOURTH[Computer Science], XLEAST[Maths], XTHIRD[Engineering]	Women are represented well in the arts and literature , but are significantly under-represented in Computer Science , Maths and Engineering .
T1AY[median], YLABEL[salary], T1AB[women], INTERVAL[half decade], XSTART[from], XLABEL[year], XLEAST[2000], XEND[to], XHIGHEST[2015], YUNIT[$], YLEAST[40], YMAG[000], XLEAST[2000], YUNIT[$], YTHIRDAPPROX[42], YMAG[000], XTHIRD[2005], YUNIT[$], YSECOND[50], YMAG[000], XSECOND[2010], YUNIT[$], YHIGHESTAPPROX[52], YMAG[000], XHIGHEST[2015]	This graph shows how the median salary of women has changed over time . This is done by looking every half decade from the year 2000 to 2015 . $ 40 000 - 2000 \\n $ 42 000 - 2005 \\n $ 50 000 - 2010 \\n $ 52 000 - 2015
PLOTTITLE[average time spent on social media daily in Maputo by age group], XHIGHEST[Ages 15-24], T1AY[average], YHIGHESTAPPROX[180], YUNIT[minutes], T1AY[social media], XSECOND[Ages 25-34], T1AY[average], YSECONDAPPROX[155], YUNIT[minutes], T1AY[day], XTHIRD[Ages 35-44], T1AY[average], YTHIRDAPPROX[120], YUNIT[minutes], T1AY[daily], XFOURTH[Ages 45-54], YFOURTHAPPROX[100], YUNIT[minutes], T1AY[daily], XLEAST[ages 55-64], T1AY[average], YLEASTAPPROX[70], YUNIT[minutes], T1AY[day], T1AY[social media]	The bar chart shows average time spent on social media daily in Maputo by age group . Ages 15-24 spent an average of 180 minutes on social media . Ages 25-34 spent an average of 155 minutes a day . Ages 35-44 spent an average of approximately 120 minutes daily . Ages 45-54 spent just under 100 minutes daily whilst ages 55-64 spent an average of approximately 70 minutes a day on social media .
YLABEL[percentage], PLOTTITLE[women represented in different sectors in Benoni], T1AY[women], T0AY[men], XLEAST[law firms], YTHIRD[equal], YLABEL[amount], T0AY[men], T1AY[women], XTHIRD[financial groups], YLABEL[percentage of women], XSECOND[tech], XHIGHEST[insurance]	This chart shows the percentage of women represented in different sectors in Benoni . We can see that there are less women than men working in law firms , and an equal amount of men and women in financial groups . However there are a higher percentage of women working in tech and insurance .
PLOTTITLE[number of fatal injuries at pula Steele factory], XSTART[from], XHIGHEST[2012], XEND[to], XLEAST[2016], XHIGHEST[2012], YLABEL[number], YHIGHEST[30], YLEASTAPPROX[13], XLEAST[2016]	This shows the number of fatal injuries at pula Steele factory from 2012 to 2016 . The highest is 2012 with the number at 30 gradually decreasing to about 13 in 2016 .
YLABEL[percentage], PLOTTITLE[women in different university departments in Narvik], YLABEL[percentages of women], XLABEL[departments], XHIGHEST[engineering], YHIGHEST[70], YUNIT[%], XSECOND[computer science], YSECOND[60], YUNIT[%], XTHIRD[mathematics], YTHIRDAPPROX[54], YUNIT[%], YLABEL[percentage], YLEASTAPPROX[22], YUNIT[%], XLEAST[literature], XFOURTH[arts], YFOURTH[30], YUNIT[%]	The chart shows the percentage of women in different university departments in Narvik . \\n The highest percentages of women are found in the departments of engineering ( 70 % ) , computer science ( 60 % ) and mathematics ( 54 % ) . \\n The lowest percentage ( 22 % ) is in literature while in arts the level is just over 30 % .
PLOTTITLE[what causes obesity in Kiribati], YLABEL[percentage], XHIGHEST[genetic cause], YHIGHESTAPPROX[40], YUNIT[%], XSECOND[lack of exercise], YSECONDAPPROX[35], YUNIT[%], XLEAST[fast food], YLEASTAPPROX[25], YUNIT[%]	This graph shows the findings of what causes obesity in Kiribati . \\n \\n The highest percentage was genetic cause at 40 % . Next highest was lack of exercise at around 35 % and fast food the lowest , at just under 25 % .
PLOTTITLE[spread of students at Lagos State University and what they chose to study], YLEAST[15], YUNIT[%], T1AX[chose], T1AY[study], XLEAST[STEM], YTHIRD[24], YUNIT[%], XTHIRD[literature], YSECOND[30], YUNIT[%], XSECOND[philosophy], YHIGHESTAPPROX[32], YUNIT[%], XHIGHEST[medicine]	This chart shows the spread of students at Lagos State University and what they chose to study . 15 % chose to study STEM ; 24 % literature ; 30 % philosophy , and 32 % medicine .
PLOTTITLE[what causes obesity], XHIGHEST[fast food], YLABEL[percentage], YHIGHEST[60], YUNIT[%], XSECOND[genetic], YSECOND[30], YUNIT[%], XLEAST[lack of exercise], YLEAST[10], YUNIT[%]	The chart shows what causes obesity . We can see that fast food accounts for a high percentage of this at 60 % whilst genetic follows at 30 % and lack of exercise at 10 % .
PLOTTITLE[minority representation in parliament of Lybia], YUNIT[percentage], XLABEL[year], YLABEL[minority representation], T1AB[parliament of Lybia], YLEASTAPPROX[6.2], YUNIT[%], XLEAST[2010-2014], XHIGHEST[1990-1994], YHIGHESTAPPROX[13.8], YUNIT[%]	This chart shows the minority representation in parliament of Lybia in percentage per year . \\n From the chart we can see that the minority representation in parliament of Lybia is the lowest at approximately 6.2 % in 2010-2014 . The highest is 1990-1994 at 13.8 % .
YHIGHEST[60], YUNIT[%], YLABEL[obesity], XHIGHEST[fast food], YLEAST[10], YUNIT[%], XLEAST[lack of exercise], YSECOND[30], YUNIT[%], XSECOND[genetic]	This graph shows that 60 % of obesity is caused by fast food . Only 10 % is caused by lack of exercise whilst 30 % is genetic
PLOTTITLE[percentage the minority representation in the Parliament of Lybia], XHIGHEST[Between 1990 and 1994], YLABEL[figure], YHIGHESTAPPROX[13.5], YUNIT[%], YSECOND[12], YUNIT[%], XSECOND[between 1995 and 1999], YLABEL[figure], YTHIRDAPPROX[8.5], YUNIT[%], XTHIRD[between 2000 and 2004], XFOURTH[between 2005 and 2009], YFOURTHAPPROX[8], YUNIT[%], YLABEL[figure], XLEAST[between 2010 and 2014], YLEASTAPPROX[6], YUNIT[%], YFIFTH[7], YUNIT[%], XFIFTH[between 2015 and 2019]	This graph shows by percentage the minority representation in the Parliament of Lybia . Between 1990 and 1994 this figure was just over 13.5 % , this dropped to 12 % between 1995 and 1999 . This figure dropped again to around 8.5 % between 2000 and 2004 and there was yet another decrease between 2005 and 2009 to slightly under 8 % . The figure between 2010 and 2014 was just over 6 % and there was then a small increase to slightly under 7 % between 2015 and 2019 .
PLOTTITLE[percentage of students showing particular subjects at Lagos State University], YLEAST[15], YUNIT[%], T1AX[choosing], XLEAST[STEM], XLABEL[subjects], YTHIRD[24], YUNIT[%], T1AX[choosing], XTHIRD[Literature], YSECOND[30], YUNIT[%], T1AX[choosing], XSECOND[Philosophy], YHIGHEST[31], YUNIT[%], T1AY[students], T1AX[chose], XEND[to], XHIGHEST[medicine]	The bar chart shows the percentage of students showing particular subjects at Lagos State University . There were 15 % choosing STEM subjects , approximately 24 % choosing Literature and 30 % choosing Philosophy . Roughly 31 % of students chose to study medicine .
YLABEL[percentage], PLOTTITLE[representation of women in different economic/employment sectors], XHIGHEST[Law firms], YLABEL[figure], YHIGHEST[60], YUNIT[%], XSECOND[Financial groups], YSECOND[40], YUNIT[%], XTHIRD[Insurance], YTHIRDAPPROX[22], YUNIT[%], XLEAST[Tech firms], YLABEL[representation], YLEAST[20], YUNIT[%]	This graph shows percentage representation of women in different economic/employment sectors . Law firms has a figure of 60 % (unclear if this mean 60% of people in law firms are women) . Financial groups shows 40 % , Insurance 22 % , and Tech firms have the lowest representation at 20 % .
YLABEL[closing stock price], XHIGHEST[Monday], YHIGHESTAPPROX[93], YUNIT[£], XLEAST[Friday], YLEASTAPPROX[32], YUNIT[£]	The closing stock price is at its highest on Monday at 93 £ and gradually declines by Friday at 32 £ .
PLOTTITLE[percentage and types of activities that young people in Zarqa do in the evenings], YLEAST[12], YUNIT[%], T1AX[evenings], XLEAST[watching TV], YSECOND[32], YUNIT[%], XSECOND[spend time with family], YHIGHEST[38], YUNIT[%], XHIGHEST[read a book], YTHIRD[18], YUNIT[%], XTHIRD[go out], T1AY[young people], T1AX[evenings], XHIGHEST[reading a book], YLABEL[percentage of students], XLEAST[watching tv]	This chart shows the percentage and types of activities that young people in Zarqa do in the evenings . 12 % are seen to spend their evenings watching TV , 32 % spend time with family , 38 % read a book and only 18 % go out . Overall the chart shows that more young people spend their evenings reading a book , and the lowest percentage of students spend it watching tv .
YLABEL[money], T1AY[Higher Education], XHIGHEST[Asia], BARSREST[North America, Europe and Africa], XLEAST[Africa], YUNIT[$], YLEAST[50], YMAG[,000,000], XTHIRD[Asia], YUNIT[$], YHIGHESTAPPROX[300], YMAG[,000,000]	The chart shows that there is more money spent on Higher Education in Asia than North America, Europe and Africa . Africa has the lowest spend of $ 50 ,000,000 compared to Asia spending over $ 300 ,000,000
PLOTTITLE[which subjects students choose to study], YHIGHEST[Half], T1AY[students], XHIGHEST[STEM], XLABEL[fields], YSECOND[fifth], XSECOND[Literature], YSECOND[fifth], XSECOND[Medicine], YLEAST[1 in ten], XLEAST[Philosophy]	This graph shows which subjects students choose to study . Half of students go into STEM fields , a fifth choose Literature , another fifth Medicine , and 1 in ten choose Philosophy .
YLABEL[percentage], T0AY[people], XLABEL[university departments], T1AY[women], YLABEL[percentage of women], XHIGHEST[engineering], YHIGHEST[70], YUNIT[%], XSECOND[Computer science], YSECOND[60], YUNIT[%], T1AY[women], XTHIRD[mathematics], YTHIRD[55], YUNIT[%], XFOURTH[arts], YFOURTH[32], YUNIT[%], XLEAST[Literature], T1AY[women], YLEASTAPPROX[22], YUNIT[%]	The graph depicts the percentage of people in university departments who are women . The greatest percentage of women are in engineering , making up 70 % . Computer science is 60 % women , mathematics 55 % , and arts 32 % . Literature has the fewest women , consisting of only 22 % .
XLABEL[group], YLABEL[amount of time], T1AY[average], XHIGHEST[45-54 year old], XLABEL[bracket], T1AY[average], YHIGHEST[150], YUNIT[minutes], XLABEL[groups], YLABEL[time], GRFOURTHLEAST[25-34 and 35-44 year olds]	The group that spends the longest amount of time on average is the 45-54 year old bracket , with an average of 150 minutes . The groups that spend the least time are the 25-34 and 35-44 year olds .
PLOTTITLE[Akef Inc Closing stock prices for the week], YLABEL[amount], SLOPEX[each day], XSECOND[Tuesday], XHIGHEST[Wednesday], XFOURTH[Thursday], XEND[and], XLEAST[Friday]	Here is a chart based on Akef Inc Closing stock prices for the week . It starts off at a steady amount and rises each day on Tuesday and Wednesday at it 's highest . On Thursday it drops to its lowest and again on Friday .
YLABEL[representation of minorities], T1AB[Lybian parliament], INTERVAL[39], XLABEL[years], YLABEL[numbers of minority representation], YHIGHEST[14], YUNIT[%], XHIGHEST[between 2015-19], T1AY[minority]	THis shows the representation of minorities in Lybian parliament has steadily increased over 39 years . Despite this increase , the numbers of minority representation are still low with only 14 % of parliament between 2015-19 being a minority .
PLOTTITLE[how many of the world's top universities are on each continent], YHIGHEST[Half], XHIGHEST[america], XSECOND[europe], YSECOND[30], YUNIT[%], XTHIRD[Asia], YTHIRD[20], YUNIT[%], GRLEASTLEAST[Africa and Australia], GRYLEASTLEAST[3], YUNIT[%]	This graph shows how many of the world's top universities are on each continent . Half of them are in america . europe comes next with 30 % , followed by Asia with 20 % . Africa and Australia ( the country ) have 3 % each .
PLOTTITLE[gender pay gap], YUNIT[percentage], BARNAMES[Germany, Spain and the UK], XHIGHEST[UK], YLABEL[pay gap], YHIGHESTAPPROX[14], YUNIT[%], YLABEL[difference], XLEAST[Germany], YLABEL[pay gap], YLEAST[5], YUNIT[%], YLABEL[difference in pay], T0AY[between men and women]	This chart shows the gender pay gap , by percentage between Germany, Spain and the UK . The UK has the largest pay gap with over 14 % difference . Germany has the smallest pay gap with only 5 % difference in pay between men and women .
YLABEL[people], T1AB[Zarqa], XHIGHEST[reading a book], T1AX[evening], XLEAST[watching TV], YLEAST[12], YUNIT[%], XLABEL[way to pass the time]	This chart shows that the majority of people in Zarqa prefer reading a book in an evening . Although this would suggest they may prefer solitude , interestingly , they do not like watching TV with only 12 % stating that as their chosen way to pass the time .
PLOTTITLE[average time spent on social media by different age groups in Maputo], XHIGHEST[15-24 years olds], YHIGHESTAPPROX[180], YUNIT[minutes], T1AY[social media], XLEAST[55-64 years], YLEASTAPPROX[75], YUNIT[minutes], T1AY[social media]	The graph shows the average time spent on social media by different age groups in Maputo . 15-24 years olds spent around 180 minutes on social media compared to those who are 55-64 years who only spent 75 minutes on social media .
YLABEL[percentage], PLOTTITLE[women who represented in different sectors in Benoni], YTHIRD[50], YUNIT[%], YLABEL[women representing], XTHIRD[financial groups], XSECOND[tech groups], YLABEL[women representatives], YSECOND[62], YUNIT[%], XHIGHEST[Insurance groups], YHIGHESTAPPROX[64], YUNIT[%], XLEAST[law firms], YLEASTAPPROX[36], YUNIT[%]	This chart shows the percentage of women who represented in different sectors in Benoni . \\n There were 50 % of women representing financial groups . The tech groups had women representatives of about 62 % . Insurance groups had slightly more with about 64 % . However the law firms had the least with about 36 % .
PLOTTITLE[average time spent in minutes on Social media daily in Maputo by age group], T0AX[people], XSECOND[15-24], YSECONDAPPROX[124], YUNIT[minutes], T1AY[daily], T1AY[social media], T0AX[people], XFOURTH[around 25-34], YFOURTHAPPROX[72], YUNIT[minutes], T0AX[People], XLABEL[age group], XLEAST[35-44], T0AX[people], YLEASTAPPROX[70], YUNIT[minutes], T1AY[social media], XLABEL[group], XLABEL[age group], XHIGHEST[45-54], YHIGHESTAPPROX[148], YUNIT[minutes], XTHIRD[around 55-64], YTHIRDAPPROX[112], YUNIT[minutes]	This chart shows the average time spent in minutes on Social media daily in Maputo by age group . From the chart , we see that people around 15-24 spend 124 minutes daily on social media , followed by people around 25-34 spend around 72 minutes . People in the age group 35-44 are the lowest amount of people that spend 70 minutes on social media . The highest group was the age group of 45-54 spending 148 minutes while people around 55-64 spent around 112 minutes .
